#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 02 01 45 350  0.5 99.0 99.00 99.00 99.00 999 9999.0   5.2   4.8   2.8 99.0 99.00
2023 01 02 02 15 260  1.5 99.0 99.00 99.00 99.00 999 9999.0   5.6   4.8   3.2 99.0 99.00
2023 01 02 02 45 240  1.5 99.0 99.00 99.00 99.00 999 9999.0   5.6   4.8   3.6 99.0 99.00
2023 01 02 03 15 230  1.5 99.0 99.00 99.00 99.00 999 9999.0   6.0   4.7   3.3 99.0 99.00
2023 01 02 03 45 270  2.1 99.0 99.00 99.00 99.00 999 9999.0   6.2   4.8   3.3 99.0 99.00
2023 01 02 04 15 230  2.6 99.0 99.00 99.00 99.00 999 9999.0   6.9   4.8   3.5 99.0 99.00
2023 01 02 04 45 230  3.1 99.0 99.00 99.00 99.00 999 9999.0   8.2   4.8   3.6 99.0 99.00
2023 01 02 05 15 210  3.1 99.0 99.00 99.00 99.00 999 9999.0   7.4   4.9   3.7 99.0 99.00
2023 01 02 05 45 210  3.1 99.0 99.00 99.00 99.00 999 9999.0   7.6   4.9   3.5 99.0 99.00
2023 01 02 06 15 210  2.6 99.0 99.00 99.00 99.00 999 9999.0   7.2   4.9   3.5 99.0 99.00
2023 01 02 06 45 230  1.5 99.0 99.00 99.00 99.00 999 9999.0   6.9   4.9   3.6 99.0 99.00
2023 01 02 07 15 200  1.5 99.0 99.00 99.00 99.00 999 9999.0   7.8   4.8   3.4 99.0 99.00
2023 01 02 07 45 160  1.0 99.0 99.00 99.00 99.00 999 9999.0   7.6   4.8   3.2 99.0 99.00
2023 01 02 08 15 200  1.5 99.0 99.00 99.00 99.00 999 9999.0   6.9   4.8   3.2 99.0 99.00
2023 01 02 08 45 170  1.0 99.0 99.00 99.00 99.00 999 9999.0   6.6   4.8   3.3 99.0 99.00
2023 01 02 09 15  40  1.0 99.0 99.00 99.00 99.00 999 9999.0   6.2   4.8   3.2 99.0 99.00
2023 01 02 09 45  70  0.5 99.0 99.00 99.00 99.00 999 9999.0   4.9   4.8   3.0 99.0 99.00
2023 01 02 10 15 260  1.0 99.0 99.00 99.00 99.00 999 9999.0   5.3   4.8   3.1 99.0 99.00
2023 01 02 10 45 290  1.0 99.0 99.00 99.00 99.00 999 9999.0   5.3   4.9   3.4 99.0 99.00
2023 01 02 11 15 230  1.0 99.0 99.00 99.00 99.00 999 9999.0   6.3   4.8   3.7 99.0 99.00
2023 01 02 11 45 280  1.5 99.0 99.00 99.00 99.00 999 9999.0   5.1   4.8   3.1 99.0 99.00
2023 01 02 12 15 230  1.5 99.0 99.00 99.00 99.00 999 9999.0   5.3   4.8   3.3 99.0 99.00
2023 01 02 12 45 200  1.0 99.0 99.00 99.00 99.00 999 9999.0   5.7   4.6   3.8 99.0 99.00
2023 01 02 13 15 190  2.1 99.0 99.00 99.00 99.00 999 9999.0   7.3   4.8   4.0 99.0 99.00
2023 01 02 13 45 200  1.0 99.0 99.00 99.00 99.00 999 9999.0   7.8   4.7   4.0 99.0 99.00
2023 01 02 14 15 210  1.5 99.0 99.00 99.00 99.00 999 9999.0   7.8   4.7   4.1 99.0 99.00
2023 01 02 14 45 200  3.1 99.0 99.00 99.00 99.00 999 9999.0   8.1   4.7   4.4 99.0 99.00
2023 01 02 15 15 210  2.6 99.0 99.00 99.00 99.00 999 9999.0   7.9   4.8   4.3 99.0 99.00
2023 01 02 15 45 210  2.6 99.0 99.00 99.00 99.00 999 9999.0   7.7   4.8   4.4 99.0 99.00
2023 01 02 16 15 200  2.6 99.0 99.00 99.00 99.00 999 9999.0   7.8   4.8   4.4 99.0 99.00
2023 01 02 16 45 200  2.6 99.0 99.00 99.00 99.00 999 9999.0   8.4   4.9   4.5 99.0 99.00
2023 01 02 17 15 200  2.6 99.0 99.00 99.00 99.00 999 9999.0   8.9   4.8   4.6 99.0 99.00
2023 01 02 17 45 200  2.6 99.0 99.00 99.00 99.00 999 9999.0   9.0   4.9   4.5 99.0 99.00
2023 01 02 18 15 190  2.6 99.0 99.00 99.00 99.00 999 9999.0   9.8   4.9   4.4 99.0 99.00
2023 01 02 18 45 200  1.0 99.0 99.00 99.00 99.00 999 9999.0  10.3   5.1   4.4 99.0 99.00
2023 01 02 19 15 240  0.5 99.0 99.00 99.00 99.00 999 9999.0   9.8   5.1   4.5 99.0 99.00
2023 01 02 19 45 200  1.5 99.0 99.00 99.00 99.00 999 9999.0  10.9   5.1   4.8 99.0 99.00
