#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 01 00 15  60  1.0  2.1 99.00 99.00 99.00 999 9999.0 999.0 999.0   6.2 99.0 99.00
2023 01 01 00 45 330  1.5  2.1 99.00 99.00 99.00 999 9999.0 999.0 999.0   5.9 99.0 99.00
2023 01 01 01 15 320  1.5  2.1 99.00 99.00 99.00 999 9999.0 999.0 999.0   5.8 99.0 99.00
2023 01 01 01 45 320  1.5  2.1 99.00 99.00 99.00 999 9999.0 999.0 999.0   6.0 99.0 99.00
2023 01 01 02 15 340  1.0  1.5 99.00 99.00 99.00 999 9999.0 999.0 999.0   6.5 99.0 99.00
2023 01 01 02 45 240  2.1  2.6 99.00 99.00 99.00 999 9999.0 999.0 999.0   5.9 99.0 99.00
2023 01 01 03 15 250  2.6  3.1 99.00 99.00 99.00 999 9999.0 999.0 999.0   5.9 99.0 99.00
2023 01 01 03 45 180  2.1  3.1 99.00 99.00 99.00 999 9999.0 999.0 999.0   5.9 99.0 99.00
2023 01 01 04 15 260  2.6  3.1 99.00 99.00 99.00 999 9999.0 999.0 999.0   6.1 99.0 99.00
2023 01 01 04 45 220  3.1  4.6 99.00 99.00 99.00 999 9999.0 999.0 999.0   6.2 99.0 99.00
2023 01 01 05 15 310  2.1  3.6 99.00 99.00 99.00 999 9999.0 999.0 999.0   6.1 99.0 99.00
2023 01 01 05 45 340  1.0  2.1 99.00 99.00 99.00 999 9999.0 999.0 999.0   5.9 99.0 99.00
2023 01 01 06 15 260  3.6  4.1 99.00 99.00 99.00 999 9999.0 999.0 999.0   6.5 99.0 99.00
2023 01 01 06 45 250  3.6  4.1 99.00 99.00 99.00 999 9999.0 999.0 999.0   6.7 99.0 99.00
2023 01 01 07 15 230  3.6  4.6 99.00 99.00 99.00 999 9999.0 999.0 999.0   5.8 99.0 99.00
2023 01 01 07 45 230  3.6  4.6 99.00 99.00 99.00 999 9999.0 999.0 999.0   6.4 99.0 99.00
2023 01 01 08 15 230  4.1  5.1 99.00 99.00 99.00 999 9999.0 999.0 999.0   6.6 99.0 99.00
2023 01 01 08 45 230  5.7  7.2 99.00 99.00 99.00 999 9999.0 999.0 999.0   7.1 99.0 99.00
2023 01 01 09 15 230  5.7  7.7 99.00 99.00 99.00 999 9999.0 999.0 999.0   7.2 99.0 99.00
2023 01 01 09 45 220  5.1  6.2 99.00 99.00 99.00 999 9999.0 999.0 999.0   6.8 99.0 99.00
2023 01 01 10 15 230  5.7  6.7 99.00 99.00 99.00 999 9999.0 999.0 999.0   7.0 99.0 99.00
2023 01 01 10 45 220  5.7  7.2 99.00 99.00 99.00 999 9999.0 999.0 999.0   7.3 99.0 99.00
2023 01 01 11 15 230  6.2  7.7 99.00 99.00 99.00 999 9999.0 999.0 999.0   6.9 99.0 99.00
2023 01 01 11 45 240  7.2  9.3 99.00 99.00 99.00 999 9999.0 999.0 999.0   6.8 99.0 99.00
2023 01 01 12 15 240  6.2  8.2 99.00 99.00 99.00 999 9999.0 999.0 999.0   6.5 99.0 99.00
2023 01 01 12 45 240  5.1  6.7 99.00 99.00 99.00 999 9999.0 999.0 999.0   6.1 99.0 99.00
2023 01 01 13 15 250  4.1  6.2 99.00 99.00 99.00 999 9999.0 999.0 999.0   5.6 99.0 99.00
2023 01 01 14 15 270  4.6  8.8 99.00 99.00 99.00 999 9999.0 999.0 999.0   5.1 99.0 99.00
2023 01 01 14 45 280  7.2 11.3 99.00 99.00 99.00 999 9999.0 999.0 999.0   4.1 99.0 99.00
2023 01 01 15 15 280  8.2 12.9 99.00 99.00 99.00 999 9999.0 999.0 999.0   3.7 99.0 99.00
