5958-794086
OS REV: 2.30
Type:   0, Scrub:   1, Angle:  45
Timeout:  10, Threshold: 200
Time (sec),  Bat (Volt),  T (deg C), Wipes (), Cal Wipe Time (sec), Wipe Time (sec), Start I (mA), Ave I (mA), Peak I (mA), Final I (mA), Rsource (Ohm)
 1666332000, +3.49, +20.616,    339,  +1.0,  +1.6, +184.9, +184.9,   +0.0,  247.1,  +0.8
 1666342800, +3.49, +20.616,    340,  +1.0,  +1.6, +234.7, +234.7,   +0.0,  247.7,  +0.8
 1666353600, +3.49, +19.834,    341,  +1.0,  +1.6, +220.8, +220.8,   +0.0,  247.1,  +0.8
 1666364400, +3.44, +20.616,    342,  +1.0,  +1.6, +246.4, +178.9,   +0.0,  246.8,  +0.6
 1666375200, +3.48, +20.877,    343,  +1.0,  +1.6, +146.7, +146.7,   +0.0,  247.0,  +0.8
 1666386000, +3.49, +20.877,    344,  +1.0,  +1.6, +208.2, +208.2,   +0.0,  246.9,  +0.8
 1666396800, +3.49, +20.877,    345,  +1.0,  +1.6, +208.7, +208.7,   +0.0,  247.4,  +0.8
 1666407600, +3.49, +19.834,    346,  +1.0,  +1.6, +192.6, +192.6,   +0.0,  247.4,  +0.8
 1666418400, +3.44, +20.355,    347,  +1.0,  +1.6, +246.9, +181.4,   +0.0,  247.0,  +0.6
