5958-794086
OS REV: 2.30
Type:   0, Scrub:   1, Angle:  45
Timeout:  10, Threshold: 200
Time (sec),  Bat (Volt),  T (deg C), Wipes (), Cal Wipe Time (sec), Wipe Time (sec), Start I (mA), Ave I (mA), Peak I (mA), Final I (mA), Rsource (Ohm)
 1664193600, +3.49, +23.744,    141,  +7.8,  +8.8,  +96.9, +110.1, +138.5,  226.4,  +0.9
 1664204400, +3.45, +24.265,    142,  +7.6,  +7.8, +141.4, +103.4, +132.8,  220.9,  +1.0
 1664215200, +3.49, +23.223,    143,  +7.6,  +7.2, +132.5, +106.1, +138.8,  228.9,  +0.9
 1664226000, +3.49, +24.265,    144,  +7.6,  +8.5,  +98.5, +107.5, +132.8,  203.1,  +0.9
 1664236800, +3.49, +24.005,    145,  +7.6,  +7.4, +140.8, +112.7, +147.4,  230.1,  +0.9
 1664247600, +3.49, +23.744,    146,  +7.6,  +8.7,  +96.8, +111.6, +139.7,  203.9,  +0.9
 1664258400, +3.45, +24.005,    147,  +7.6,  +7.9, +142.4, +103.9, +133.2,  222.0,  +1.0
 1664269200, +3.49, +24.005,    148,  +7.6,  +7.2, +132.4, +106.2, +137.9,  230.5,  +0.9
 1664280000, +3.49, +24.265,    149,  +7.6,  +8.5,  +96.9, +108.8, +138.8,  226.1,  +0.9
