5958-794086
OS REV: 2.30
Type:   0, Scrub:   1, Angle:  45
Timeout:  10, Threshold: 200
Time (sec),  Bat (Volt),  T (deg C), Wipes (), Cal Wipe Time (sec), Wipe Time (sec), Start I (mA), Ave I (mA), Peak I (mA), Final I (mA), Rsource (Ohm)
 1666720800, +3.49, +20.877,    375,  +1.0,  +1.6, +219.8, +219.8,   +0.0,  247.4,  +0.8
 1666731600, +3.49, +20.877,    376,  +1.0,  +1.6, +199.9, +199.9,   +0.0,  246.8,  +0.8
 1666742400, +3.44, +21.398,    377,  +1.0,  +1.6, +246.5, +202.6,   +0.0,  246.0,  +0.6
 1666753200, +3.49, +20.355,    378,  +1.0,  +1.6, +218.2, +218.2,   +0.0,  247.1,  +0.8
 1666764000, +3.49, +20.877,    379,  +1.0,  +1.6, +206.1, +206.1,   +0.0,  247.4,  +0.8
 1666774800, +3.49, +20.616,    380,  +1.0,  +1.6, +201.4, +201.4,   +0.0,  247.3,  +0.8
 1666785600, +3.49, +20.877,    381,  +1.0,  +1.6, +201.0, +201.0,   +0.0,  247.3,  +0.8
 1666796400, +3.44, +20.877,    382,  +1.0,  +1.6, +246.5, +225.9,   +0.0,  245.9,  +0.6
 1666807200, +3.49, +21.137,    383,  +1.0,  +1.6, +233.2, +233.2,   +0.0,  246.6,  +0.8
