5958-794086
OS REV: 2.30
Type:   0, Scrub:   1, Angle:  45
Timeout:  10, Threshold: 200
Time (sec),  Bat (Volt),  T (deg C), Wipes (), Cal Wipe Time (sec), Wipe Time (sec), Start I (mA), Ave I (mA), Peak I (mA), Final I (mA), Rsource (Ohm)
 1665165600, +3.50, +22.180,    231,  +1.0,  +1.6, +155.1, +155.1,   +0.0,  245.9,  +0.8
 1665176400, +3.45, +21.919,    232,  +1.0,  +1.6, +243.0, +132.9,   +0.0,  244.8,  +0.6
 1665187200, +3.50, +22.180,    233,  +1.0,  +1.6, +112.8, +110.6,   +0.0,  246.1,  +0.8
 1665198000, +3.50, +21.919,    234,  +1.0,  +1.6, +144.2, +144.2,   +0.0,  246.0,  +0.8
 1665208800, +3.50, +22.441,    235,  +1.0,  +1.6, +114.1, +114.1,   +0.0,  245.9,  +0.8
 1665219600, +3.50, +21.659,    236,  +1.0,  +1.6, +150.1, +150.1,   +0.0,  246.0,  +0.8
 1665230400, +3.46, +21.919,    237,  +1.0,  +1.6, +241.9, +133.5,   +0.0,  245.0,  +0.6
 1665241200, +3.50, +21.919,    238,  +1.0,  +1.6, +108.2, +108.2,   +0.0,  246.2,  +0.8
 1665252000, +3.50, +21.919,    239,  +1.0,  +1.6, +151.9, +151.9,   +0.0,  246.0,  +0.8
