5958-794086
OS REV: 2.30
Type:   0, Scrub:   1, Angle:  45
Timeout:  10, Threshold: 200
Time (sec),  Bat (Volt),  T (deg C), Wipes (), Cal Wipe Time (sec), Wipe Time (sec), Start I (mA), Ave I (mA), Peak I (mA), Final I (mA), Rsource (Ohm)
 1668567600, +3.47, +16.706,    546,  +1.0,  +1.6, +211.8, +211.8,   +0.0,  250.4,  +0.8
 1668578400, +3.42, +16.967,    547,  +1.0,  +1.6, +250.2, +242.5,   +0.0,  249.5,  +0.6
 1668589200, +3.46, +16.445,    548,  +1.0,  +1.6, +224.8, +224.8,   +0.0,  250.5,  +0.8
 1668600000, +3.47, +16.185,    549,  +1.0,  +1.6, +217.4, +217.4,   +0.0,  250.8,  +0.8
 1668610800, +3.47, +16.185,    550,  +1.0,  +1.6, +249.7, +249.7,   +0.0,  250.5,  +0.8
 1668621600, +3.47, +16.967,    551,  +1.0,  +1.6, +219.4, +219.4,   +0.0,  250.5,  +0.8
 1668632400, +3.42, +17.488,    552,  +1.0,  +1.6, +250.2, +235.2,   +0.0,  249.5,  +0.7
 1668643200, +3.46, +16.706,    553,  +1.0,  +1.6, +232.9, +232.9,   +0.0,  250.8,  +0.8
 1668654000, +3.47, +16.185,    554,  +1.0,  +1.6, +213.8, +213.8,   +0.0,  250.7,  +0.8
