5958-794086
OS REV: 2.30
Type:   0, Scrub:   1, Angle:  45
Timeout:  10, Threshold: 200
Time (sec),  Bat (Volt),  T (deg C), Wipes (), Cal Wipe Time (sec), Wipe Time (sec), Start I (mA), Ave I (mA), Peak I (mA), Final I (mA), Rsource (Ohm)
 1668373200, +3.48, +19.573,    528,  +1.0,  +1.6, +227.6, +227.6,   +0.0,  247.4,  +0.8
 1668384000, +3.48, +19.573,    529,  +1.0,  +1.6, +228.4, +228.4,   +0.0,  247.8,  +0.8
 1668394800, +3.48, +18.009,    530,  +1.0,  +1.6, +234.4, +234.4,   +0.0,  248.5,  +0.8
 1668405600, +3.48, +20.355,    531,  +1.0,  +1.6, +214.7, +214.7,   +0.0,  248.5,  +0.8
 1668416400, +3.43, +19.313,    532,  +1.0,  +1.6, +248.5, +239.5,   +0.0,  247.7,  +0.6
 1668427200, +3.47, +18.531,    533,  +1.0,  +1.6, +241.2, +241.2,   +0.0,  248.6,  +0.8
 1668438000, +3.48, +19.313,    534,  +1.0,  +1.6, +228.2, +228.2,   +0.0,  249.0,  +0.8
 1668448800, +3.48, +18.270,    535,  +1.0,  +1.6, +236.4, +236.4,   +0.0,  249.0,  +0.8
 1668459600, +3.48, +18.009,    536,  +1.0,  +1.6, +229.0, +229.0,   +0.0,  249.0,  +0.8
