5958-794086
OS REV: 2.30
Type:   0, Scrub:   1, Angle:  45
Timeout:  10, Threshold: 200
Time (sec),  Bat (Volt),  T (deg C), Wipes (), Cal Wipe Time (sec), Wipe Time (sec), Start I (mA), Ave I (mA), Peak I (mA), Final I (mA), Rsource (Ohm)
 1668081600, +3.48, +18.009,    501,  +1.0,  +1.6, +217.5, +217.5,   +0.0,  248.9,  +0.8
 1668092400, +3.43, +19.052,    502,  +1.0,  +1.6, +248.1, +233.0,   +0.0,  247.6,  +0.6
 1668103200, +3.47, +19.573,    503,  +1.0,  +1.6, +224.5, +224.5,   +0.0,  248.6,  +0.8
 1668114000, +3.48, +18.270,    504,  +1.0,  +1.6, +221.5, +221.5,   +0.0,  248.8,  +0.8
 1668124800, +3.48, +18.531,    505,  +1.0,  +1.6, +235.9, +235.9,   +0.0,  248.8,  +0.8
 1668135600, +3.48, +18.791,    506,  +1.0,  +1.6, +215.8, +215.8,   +0.0,  248.8,  +0.8
 1668146400, +3.43, +19.313,    507,  +1.0,  +1.6, +248.4, +225.5,   +0.0,  248.0,  +0.7
 1668157200, +3.47, +17.749,    508,  +1.0,  +1.6, +224.0, +224.0,   +0.0,  248.8,  +0.8
 1668168000, +3.48, +17.488,    509,  +1.0,  +1.6, +212.3, +212.3,   +0.0,  249.0,  +0.8
