5958-794086
OS REV: 2.30
Type:   0, Scrub:   1, Angle:  45
Timeout:  10, Threshold: 200
Time (sec),  Bat (Volt),  T (deg C), Wipes (), Cal Wipe Time (sec), Wipe Time (sec), Start I (mA), Ave I (mA), Peak I (mA), Final I (mA), Rsource (Ohm)
 1667498400, +3.44, +21.659,    447,  +1.0,  +1.6, +246.6, +235.0,   +0.0,  245.8,  +0.6
 1667509200, +3.48, +20.877,    448,  +1.0,  +1.6, +242.0, +242.0,   +0.0,  247.0,  +0.7
 1667520000, +3.48, +20.616,    449,  +1.0,  +1.6, +219.0, +219.0,   +0.0,  247.3,  +0.8
 1667530800, +3.49, +20.095,    450,  +1.0,  +1.6, +237.1, +237.1,   +0.0,  247.5,  +0.8
 1667541600, +3.49, +20.095,    451,  +1.0,  +1.6, +217.0, +217.0,   +0.0,  247.5,  +0.8
 1667552400, +3.44, +20.355,    452,  +1.0,  +1.6, +247.5, +234.1,   +0.0,  246.9,  +0.6
 1667563200, +3.48, +19.834,    453,  +1.0,  +1.6, +231.0, +231.0,   +0.0,  247.7,  +0.8
 1667574000, +3.48, +20.355,    454,  +1.0,  +1.6, +217.9, +217.9,   +0.0,  247.2,  +0.8
 1667584800, +3.49, +20.877,    455,  +1.0,  +1.6, +230.1, +230.1,   +0.0,  246.7,  +0.8
