5958-175373
OS REV: 2.30
Type:   0, Scrub:   1, Angle:  45
Timeout:  10, Threshold: 200
Time (sec),  Bat (Volt),  T (deg C), Wipes (), Cal Wipe Time (sec), Wipe Time (sec), Start I (mA), Ave I (mA), Peak I (mA), Final I (mA), Rsource (Ohm)
 1664679600, +3.50, +24.954,    174,  +5.9,  +5.9,  +78.6,  +63.1,  +71.6,  231.6,  +1.1
 1664690400, +3.45, +24.450,    175,  +5.9,  +5.8,  +88.1,  +61.2,  +67.4,  222.5,  +1.1
 1664701200, +3.50, +24.450,    176,  +5.9,  +5.8,  +77.3,  +64.1,  +75.8,  208.7,  +1.1
 1664712000, +3.50, +24.450,    177,  +5.9,  +5.9,  +79.1,  +63.3,  +71.3,  231.2,  +1.1
 1664722800, +3.50, +24.450,    178,  +5.9,  +5.8,  +76.8,  +64.4,  +75.9,  207.4,  +1.1
 1664733600, +3.50, +24.450,    179,  +5.9,  +5.9,  +78.8,  +63.6,  +71.5,  230.2,  +1.1
 1664744400, +3.44, +24.450,    180,  +5.9,  +5.8,  +90.8,  +61.7,  +67.7,  218.6,  +1.0
 1664755200, +3.50, +24.197,    181,  +5.9,  +5.9,  +77.3,  +64.8,  +76.5,  232.1,  +1.1
 1664766000, +3.50, +24.197,    182,  +5.9,  +5.9,  +79.1,  +63.9,  +72.5,  230.4,  +1.1
