5958-175373
OS REV: 2.30
Type:   0, Scrub:   1, Angle:  45
Timeout:  10, Threshold: 200
Time (sec),  Bat (Volt),  T (deg C), Wipes (), Cal Wipe Time (sec), Wipe Time (sec), Start I (mA), Ave I (mA), Peak I (mA), Final I (mA), Rsource (Ohm)
 1668664800, +3.46, +18.899,    543,  +6.1,  +6.0,  +78.5,  +71.9,  +84.7,  202.7,  +1.1
 1668675600, +3.46, +20.665,    544,  +6.1,  +6.1,  +85.4,  +72.7,  +80.0,  226.7,  +1.1
 1668686400, +3.41, +18.647,    545,  +6.1,  +6.0,  +90.1,  +70.4,  +77.7,  217.0,  +1.0
 1668697200, +3.46, +19.908,    546,  +6.1,  +6.0,  +77.9,  +71.5,  +84.9,  209.0,  +1.1
 1668708000, +3.46, +19.656,    547,  +6.1,  +6.1,  +85.6,  +71.9,  +79.3,  232.6,  +1.1
 1668718800, +3.46, +19.656,    548,  +6.1,  +6.0,  +78.3,  +72.0,  +85.3,  202.2,  +1.1
 1668729600, +3.46, +18.142,    549,  +6.1,  +6.1,  +85.9,  +72.5,  +79.3,  228.0,  +1.1
 1668740400, +3.41, +18.899,    550,  +6.0,  +6.0,  +90.0,  +69.9,  +77.7,  219.8,  +1.0
 1668751200, +3.46, +18.394,    551,  +6.0,  +6.0,  +77.9,  +71.5,  +84.7,  212.1,  +1.1
