5958-175373
OS REV: 2.30
Type:   0, Scrub:   1, Angle:  45
Timeout:  10, Threshold: 200
Time (sec),  Bat (Volt),  T (deg C), Wipes (), Cal Wipe Time (sec), Wipe Time (sec), Start I (mA), Ave I (mA), Peak I (mA), Final I (mA), Rsource (Ohm)
 1667498400, +3.44, +23.945,    435,  +6.0,  +5.9,  +88.7,  +64.6,  +69.7,  215.7,  +0.9
 1667509200, +3.48, +22.936,    436,  +6.0,  +6.0,  +77.2,  +69.1,  +82.9,  227.3,  +1.0
 1667520000, +3.49, +22.936,    437,  +6.0,  +6.0,  +81.5,  +66.7,  +73.4,  228.8,  +1.0
 1667530800, +3.49, +22.179,    438,  +6.0,  +6.0,  +77.1,  +68.9,  +82.8,  229.0,  +1.0
 1667541600, +3.49, +21.927,    439,  +6.0,  +6.0,  +82.0,  +67.2,  +74.7,  224.4,  +1.0
 1667552400, +3.43, +22.431,    440,  +6.0,  +5.9,  +88.1,  +65.7,  +71.4,  202.6,  +1.0
 1667563200, +3.48, +22.179,    441,  +6.0,  +6.0,  +76.9,  +69.3,  +82.6,  221.7,  +1.0
 1667574000, +3.48, +22.683,    442,  +6.0,  +6.0,  +80.4,  +66.8,  +74.3,  228.3,  +1.0
 1667584800, +3.49, +22.936,    443,  +6.0,  +6.0,  +76.7,  +68.7,  +82.3,  227.0,  +1.0
