5958-175373
OS REV: 2.30
Type:   0, Scrub:   1, Angle:  45
Timeout:  10, Threshold: 200
Time (sec),  Bat (Volt),  T (deg C), Wipes (), Cal Wipe Time (sec), Wipe Time (sec), Start I (mA), Ave I (mA), Peak I (mA), Final I (mA), Rsource (Ohm)
 1663610400, +3.48, +29.748,     75,  +5.7,  +5.7,  +84.1,  +55.1,  +60.9,  226.0,  +1.0
 1663621200, +3.53, +30.000,     76,  +5.7,  +5.7,  +74.5,  +57.7,  +67.5,  213.6,  +1.1
 1663632000, +3.53, +29.748,     77,  +5.7,  +5.7,  +75.9,  +57.4,  +66.3,  210.3,  +1.1
 1663642800, +3.53, +29.495,     78,  +5.7,  +5.7,  +74.4,  +58.1,  +67.4,  213.2,  +1.1
 1663653600, +3.53, +29.243,     79,  +5.7,  +5.7,  +76.4,  +57.7,  +67.7,  206.0,  +1.1
 1663664400, +3.48, +28.991,     80,  +5.8,  +5.7,  +85.5,  +56.0,  +63.4,  221.9,  +1.0
 1663675200, +3.52, +29.495,     81,  +5.8,  +5.7,  +75.5,  +58.1,  +68.2,  208.4,  +1.1
 1663686000, +3.53, +30.000,     82,  +5.8,  +5.7,  +76.5,  +57.7,  +68.1,  207.7,  +1.1
 1663696800, +3.53, +29.748,     83,  +5.8,  +5.7,  +75.8,  +58.0,  +68.1,  212.3,  +1.1
