5958-175373
OS REV: 2.30
Type:   0, Scrub:   1, Angle:  45
Timeout:  10, Threshold: 200
Time (sec),  Bat (Volt),  T (deg C), Wipes (), Cal Wipe Time (sec), Wipe Time (sec), Start I (mA), Ave I (mA), Peak I (mA), Final I (mA), Rsource (Ohm)
 1663221600, +3.53, +28.991,     39,  +5.7,  +5.7,  +74.6,  +56.7,  +64.1,  217.5,  +1.1
 1663232400, +3.47, +28.991,     40,  +5.7,  +5.7,  +84.1,  +54.9,  +61.8,  228.6,  +1.0
 1663243200, +3.53, +29.495,     41,  +5.7,  +5.7,  +73.4,  +56.9,  +66.2,  227.9,  +1.1
 1663254000, +3.53, +29.495,     42,  +5.7,  +5.7,  +75.4,  +56.9,  +65.7,  213.6,  +1.1
 1663264800, +3.53, +29.495,     43,  +5.7,  +5.7,  +73.5,  +57.3,  +65.8,  227.5,  +1.1
 1663275600, +3.53, +29.495,     44,  +5.7,  +5.7,  +76.0,  +57.4,  +64.9,  212.0,  +1.1
 1663286400, +3.48, +28.991,     45,  +5.7,  +5.7,  +83.9,  +56.3,  +61.9,  224.8,  +1.0
 1663297200, +3.52, +28.991,     46,  +5.7,  +5.7,  +74.0,  +58.1,  +66.3,  223.8,  +1.1
 1663308000, +3.53, +28.486,     47,  +5.7,  +5.7,  +76.2,  +58.2,  +64.6,  209.4,  +1.1
