5958-175373
OS REV: 2.30
Type:   0, Scrub:   1, Angle:  45
Timeout:  10, Threshold: 200
Time (sec),  Bat (Volt),  T (deg C), Wipes (), Cal Wipe Time (sec), Wipe Time (sec), Start I (mA), Ave I (mA), Peak I (mA), Final I (mA), Rsource (Ohm)
 1664193600, +3.51, +25.711,    129,  +5.8,  +5.8,  +76.9,  +61.3,  +69.9,  222.8,  +1.1
 1664204400, +3.46, +26.216,    130,  +5.8,  +5.7,  +86.6,  +59.6,  +64.7,  202.8,  +1.0
 1664215200, +3.51, +26.972,    131,  +5.8,  +5.8,  +76.1,  +61.9,  +72.2,  223.8,  +1.1
 1664226000, +3.52, +26.972,    132,  +5.8,  +5.8,  +76.8,  +60.8,  +68.8,  222.6,  +1.1
 1664236800, +3.52, +26.720,    133,  +5.8,  +5.8,  +76.5,  +62.4,  +72.8,  219.1,  +1.1
 1664247600, +3.52, +26.720,    134,  +5.8,  +5.8,  +76.7,  +61.5,  +69.8,  219.7,  +1.1
 1664258400, +3.46, +27.225,    135,  +5.8,  +5.7,  +86.3,  +59.4,  +65.2,  204.3,  +1.0
 1664269200, +3.51, +26.720,    136,  +5.8,  +5.8,  +76.7,  +62.0,  +72.4,  223.2,  +1.1
 1664280000, +3.51, +26.720,    137,  +5.8,  +5.8,  +77.0,  +61.3,  +69.5,  222.0,  +1.1
