5958-175373
OS REV: 2.30
Type:   0, Scrub:   1, Angle:  45
Timeout:  10, Threshold: 200
Time (sec),  Bat (Volt),  T (deg C), Wipes (), Cal Wipe Time (sec), Wipe Time (sec), Start I (mA), Ave I (mA), Peak I (mA), Final I (mA), Rsource (Ohm)
 1662930000, +3.51, +27.982,     12,  +6.1,  +5.7,  +79.5,  +58.7,  +69.3,  202.3,  +1.2
 1662940800, +3.52, +27.729,     13,  +6.1,  +5.7,  +77.1,  +57.2,  +64.5,  221.4,  +1.2
 1662951600, +3.52, +27.225,     14,  +6.1,  +5.8,  +79.8,  +59.2,  +69.0,  226.5,  +1.2
 1662962400, +3.46, +27.477,     15,  +5.8,  +5.7,  +91.6,  +56.5,  +62.6,  226.8,  +1.1
 1662973200, +3.52, +27.225,     16,  +5.8,  +5.7,  +78.1,  +58.5,  +65.6,  213.3,  +1.2
 1662984000, +3.52, +26.720,     17,  +5.8,  +5.8,  +79.7,  +59.6,  +68.7,  228.9,  +1.2
 1662994800, +3.52, +29.243,     18,  +5.8,  +5.6,  +72.0,  +54.5,  +62.4,  225.1,  +1.1
 1663005600, +3.53, +29.748,     19,  +5.8,  +5.7,  +73.9,  +55.5,  +65.5,  222.3,  +1.1
 1663016400, +3.47, +30.000,     20,  +5.7,  +5.6,  +83.5,  +53.5,  +60.9,  207.3,  +1.0
