5958-175373
OS REV: 2.30
Type:   0, Scrub:   1, Angle:  45
Timeout:  10, Threshold: 200
Time (sec),  Bat (Volt),  T (deg C), Wipes (), Cal Wipe Time (sec), Wipe Time (sec), Start I (mA), Ave I (mA), Peak I (mA), Final I (mA), Rsource (Ohm)
 1665165600, +3.50, +24.450,    219,  +5.9,  +5.9,  +79.3,  +63.4,  +71.1,  228.8,  +1.1
 1665176400, +3.45, +24.702,    220,  +5.9,  +5.8,  +88.8,  +61.7,  +67.2,  215.0,  +1.0
 1665187200, +3.50, +24.954,    221,  +5.9,  +5.8,  +76.7,  +64.6,  +76.3,  201.7,  +1.1
 1665198000, +3.50, +24.450,    222,  +5.9,  +5.9,  +79.5,  +62.9,  +71.1,  231.0,  +1.1
 1665208800, +3.50, +24.702,    223,  +5.9,  +5.9,  +77.3,  +64.8,  +76.8,  231.1,  +1.1
 1665219600, +3.50, +24.702,    224,  +5.9,  +5.9,  +79.7,  +63.6,  +71.7,  228.4,  +1.1
 1665230400, +3.45, +24.450,    225,  +5.9,  +5.8,  +88.8,  +61.9,  +67.1,  218.1,  +1.0
 1665241200, +3.49, +23.945,    226,  +5.9,  +5.9,  +76.8,  +65.2,  +77.6,  228.4,  +1.1
 1665252000, +3.50, +24.954,    227,  +5.9,  +5.9,  +79.6,  +63.4,  +71.7,  228.3,  +1.1
