5958-175373
OS REV: 2.30
Type:   0, Scrub:   1, Angle:  45
Timeout:  10, Threshold: 200
Time (sec),  Bat (Volt),  T (deg C), Wipes (), Cal Wipe Time (sec), Wipe Time (sec), Start I (mA), Ave I (mA), Peak I (mA), Final I (mA), Rsource (Ohm)
 1666623600, +3.49, +21.927,    354,  +6.0,  +6.0,  +81.6,  +67.1,  +74.2,  229.2,  +1.1
 1666634400, +3.43, +22.683,    355,  +6.0,  +5.9,  +89.6,  +65.0,  +70.8,  215.9,  +1.0
 1666645200, +3.48, +21.927,    356,  +6.0,  +6.0,  +78.1,  +69.4,  +83.6,  227.5,  +1.1
 1666656000, +3.48, +22.179,    357,  +6.0,  +6.0,  +81.8,  +67.1,  +75.7,  229.4,  +1.0
 1666666800, +3.49, +22.179,    358,  +6.0,  +6.0,  +77.3,  +69.4,  +83.8,  226.0,  +1.1
 1666677600, +3.49, +22.431,    359,  +6.0,  +6.0,  +82.2,  +67.0,  +75.4,  229.1,  +1.1
 1666688400, +3.44, +22.936,    360,  +6.0,  +5.9,  +89.2,  +64.5,  +70.5,  219.9,  +1.0
 1666699200, +3.48, +22.431,    361,  +6.0,  +6.0,  +77.4,  +69.0,  +82.7,  229.9,  +1.1
 1666710000, +3.49, +22.683,    362,  +6.0,  +6.0,  +82.6,  +66.3,  +73.7,  231.4,  +1.0
