5958-175373
OS REV: 2.30
Type:   0, Scrub:   1, Angle:  45
Timeout:  10, Threshold: 200
Time (sec),  Bat (Volt),  T (deg C), Wipes (), Cal Wipe Time (sec), Wipe Time (sec), Start I (mA), Ave I (mA), Peak I (mA), Final I (mA), Rsource (Ohm)
 1666137600, +3.50, +24.702,    309,  +5.9,  +5.9,  +79.6,  +65.4,  +73.6,  215.8,  +1.0
 1666148400, +3.45, +24.702,    310,  +5.9,  +5.8,  +88.6,  +62.9,  +69.0,  202.7,  +1.0
 1666159200, +3.49, +24.450,    311,  +5.9,  +5.9,  +77.2,  +66.9,  +79.2,  215.5,  +1.0
 1666170000, +3.49, +23.188,    312,  +5.9,  +5.9,  +80.0,  +65.3,  +73.0,  222.4,  +1.1
 1666180800, +3.49, +23.693,    313,  +5.9,  +5.9,  +77.4,  +66.9,  +78.5,  217.1,  +1.0
 1666191600, +3.50, +23.945,    314,  +5.9,  +5.9,  +80.1,  +65.3,  +73.1,  218.8,  +1.1
 1666202400, +3.44, +24.450,    315,  +5.9,  +5.8,  +88.5,  +62.9,  +68.3,  201.9,  +1.0
 1666213200, +3.49, +24.197,    316,  +5.9,  +5.9,  +77.6,  +67.0,  +79.2,  215.2,  +1.1
 1666224000, +3.49, +23.440,    317,  +5.9,  +5.9,  +79.5,  +65.1,  +72.8,  222.2,  +1.1
