5958-175373
OS REV: 2.30
Type:   0, Scrub:   1, Angle:  45
Timeout:  10, Threshold: 200
Time (sec),  Bat (Volt),  T (deg C), Wipes (), Cal Wipe Time (sec), Wipe Time (sec), Start I (mA), Ave I (mA), Peak I (mA), Final I (mA), Rsource (Ohm)
 1664485200, +3.51, +26.468,    156,  +5.8,  +5.8,  +77.0,  +62.6,  +73.6,  214.1,  +1.1
 1664496000, +3.51, +26.720,    157,  +5.8,  +5.8,  +78.6,  +61.2,  +69.5,  221.4,  +1.1
 1664506800, +3.51, +26.216,    158,  +5.8,  +5.8,  +77.0,  +62.7,  +73.4,  216.8,  +1.1
 1664517600, +3.51, +25.963,    159,  +5.8,  +5.8,  +78.1,  +61.8,  +69.8,  216.7,  +1.1
 1664528400, +3.46, +26.720,    160,  +5.8,  +5.8,  +87.4,  +60.0,  +65.6,  230.1,  +1.0
 1664539200, +3.51, +25.711,    161,  +5.8,  +5.8,  +77.0,  +63.2,  +74.1,  214.1,  +1.1
 1664550000, +3.51, +25.711,    162,  +5.8,  +5.8,  +78.5,  +62.1,  +70.2,  216.6,  +1.1
 1664560800, +3.51, +25.963,    163,  +5.8,  +5.8,  +76.9,  +63.0,  +73.6,  214.6,  +1.1
 1664571600, +3.51, +26.216,    164,  +5.8,  +5.8,  +77.9,  +62.0,  +70.0,  215.2,  +1.1
